Wall time,Step,Value
1653738337.685859,0,0.5735470652580261
1653738365.981333,1,0.4945201575756073
1653738403.746032,2,0.4864259362220764
1653738430.355495,3,0.4850151836872101
1653738467.960571,4,0.46578893065452576
1653738495.920632,5,0.3489997684955597
1653738533.136213,6,0.30577486753463745
1653738565.897929,7,0.28679904341697693
1653738599.037861,8,0.2822340428829193
1653738632.312637,9,0.2719367742538452
1653738658.496177,10,0.2701990008354187
1653738692.608982,11,0.263862282037735
1653738719.061526,12,0.2629863917827606
1653738752.433101,13,0.2580580413341522
1653738778.032763,14,0.2578599750995636
1653738812.32964,15,0.25425785779953003
1653738840.979181,16,0.2540748417377472
1653738875.739681,17,0.25156569480895996
1653738903.970554,18,0.2507670521736145
1653738938.83411,19,0.24880167841911316
1653738967.018332,20,0.2481025606393814
1653739001.587559,21,0.24646006524562836
1653739029.891289,22,0.24619589745998383
1653739065.08877,23,0.24439382553100586
1653739091.880393,24,0.24394333362579346
1653739126.576138,25,0.24216057360172272
1653739153.510928,26,0.24208354949951172
1653739188.555533,27,0.24054789543151855
1653739215.625309,28,0.23993569612503052
1653739250.229593,29,0.2387591004371643
1653739277.172676,30,0.23791351914405823
1653739312.141102,31,0.23759853839874268
1653739339.987273,32,0.2361678034067154
1653739375.517001,33,0.23604685068130493
1653739403.252027,34,0.23497839272022247
1653739439.862521,35,0.23453061282634735
1653739469.959333,36,0.23358134925365448
1653739507.950411,37,0.23377321660518646
1653739538.226483,38,0.23233643174171448
1653739579.695834,39,0.23264336585998535
1653739611.419914,40,0.23127850890159607
1653739651.801604,41,0.23157012462615967
1653739684.562557,42,0.23071621358394623
1653739725.14171,43,0.23069335520267487
1653739757.972212,44,0.22957558929920197
1653739799.06223,45,0.22973713278770447
1653739831.058348,46,0.22902238368988037
1653739871.563046,47,0.22870878875255585
1653739904.158668,48,0.2282695323228836
1653739944.924578,49,0.22809794545173645
