Wall time,Step,Value
1653733879.190321,0,0.4690365791320801
1653733906.227661,1,0.30962347984313965
1653733943.27521,2,0.2877129316329956
1653733969.463093,3,0.275317519903183
1653734006.48098,4,0.2717382609844208
1653734033.758,5,0.2659865915775299
1653734070.970673,6,0.26491275429725647
1653734103.212809,7,0.2598068416118622
1653734136.045969,8,0.25981226563453674
1653734168.731088,9,0.25545838475227356
1653734194.262516,10,0.2551657557487488
1653734226.006107,11,0.25146743655204773
1653734251.958328,12,0.2513275444507599
1653734284.487767,13,0.24857529997825623
1653734310.18092,14,0.2485448271036148
1653734342.473819,15,0.24682043492794037
1653734368.441025,16,0.2463698536157608
1653734400.879514,17,0.24533222615718842
1653734426.538593,18,0.24466794729232788
1653734459.117987,19,0.24420441687107086
1653734485.209622,20,0.243127703666687
1653734517.239586,21,0.24332226812839508
1653734543.045862,22,0.24199646711349487
1653734575.148439,23,0.24257990717887878
1653734600.176275,24,0.24078156054019928
1653734631.822378,25,0.24160540103912354
1653734657.07189,26,0.2397131621837616
1653734689.206355,27,0.2408653348684311
1653734714.501217,28,0.2388792783021927
1653734746.610892,29,0.24020971357822418
1653734771.37228,30,0.2381482720375061
1653734803.18337,31,0.2393447756767273
1653734828.142503,32,0.23748745024204254
1653734859.970387,33,0.23877321183681488
1653734884.913052,34,0.2367672324180603
1653734916.716365,35,0.238188698887825
1653734941.525417,36,0.23620770871639252
1653734972.812929,37,0.23766306042671204
1653734998.129251,38,0.23553061485290527
1653735029.70345,39,0.2369539737701416
1653735054.499527,40,0.23479370772838593
1653735086.133315,41,0.23657551407814026
1653735111.084863,42,0.23408645391464233
1653735142.814063,43,0.2360781729221344
1653735168.032324,44,0.2336120307445526
1653735199.688603,45,0.23572519421577454
1653735225.036451,46,0.23330232501029968
1653735256.997935,47,0.2353658676147461
1653735282.198993,48,0.2327541559934616
1653735313.920393,49,0.23495495319366455
