Wall time,Step,Value
1653736847.075392,0,0.5564309358596802
1653736874.551603,1,0.47800102829933167
1653736911.29817,2,0.41301336884498596
1653736937.283261,3,0.3613027036190033
1653736974.020924,4,0.34018659591674805
1653737001.347558,5,0.32364076375961304
1653737037.894153,6,0.31624141335487366
1653737069.297213,7,0.30750948190689087
1653737101.077724,8,0.3039030134677887
1653737133.137455,9,0.2979212999343872
1653737158.569434,10,0.2950800061225891
1653737190.566244,11,0.2900395691394806
1653737215.671932,12,0.2870975732803345
1653737247.417906,13,0.28262457251548767
1653737272.783844,14,0.2781333327293396
1653737305.03888,15,0.2727294862270355
1653737330.246755,16,0.2651558220386505
1653737362.329034,17,0.2628203332424164
1653737387.375577,18,0.2588146924972534
1653737419.587514,19,0.25828370451927185
1653737445.131802,20,0.2550467252731323
1653737477.38519,21,0.2546337842941284
1653737502.543724,22,0.2523994743824005
1653737534.641628,23,0.2522098124027252
1653737559.722873,24,0.25050023198127747
1653737591.535609,25,0.25053098797798157
1653737616.818843,26,0.24900026619434357
1653737649.064877,27,0.24858669936656952
1653737674.196475,28,0.24757221341133118
1653737706.061426,29,0.24740815162658691
1653737731.642994,30,0.2463681399822235
1653737763.947402,31,0.24629627168178558
1653737789.089266,32,0.24531933665275574
1653737820.59209,33,0.24493351578712463
1653737846.125231,34,0.2443820983171463
1653737878.040412,35,0.24398738145828247
1653737903.621377,36,0.24367743730545044
1653737935.955001,37,0.24314314126968384
1653737961.151715,38,0.24259111285209656
1653737992.855524,39,0.242219477891922
1653738018.604782,40,0.24139955639839172
1653738050.779129,41,0.2413169890642166
1653738075.80117,42,0.24019406735897064
1653738108.062851,43,0.24044501781463623
1653738133.288271,44,0.23975473642349243
1653738165.980377,45,0.2395029067993164
1653738190.875607,46,0.23877595365047455
1653738223.147304,47,0.23866808414459229
1653738248.014568,48,0.23784540593624115
1653738280.079888,49,0.2379806935787201
