Wall time,Step,Value
1653793565.228743,0,0.7250000238418579
1653793581.89845,1,0.7639999985694885
1653793599.622199,2,0.7784000039100647
1653793614.427501,3,0.7635999917984009
1653793631.675244,4,0.7788000106811523
1653793646.713602,5,0.76419997215271
1653793664.520606,6,0.77920001745224
1653793680.920024,7,0.7644000053405762
1653793697.742301,8,0.7799999713897705
1653793715.349318,9,0.7671999931335449
1653793729.768447,10,0.7870000004768372
1653793746.949687,11,0.8011999726295471
1653793761.938305,12,0.8758000135421753
1653793779.236808,13,0.8812000155448914
1653793794.019516,14,0.8967999815940857
1653793811.075643,15,0.8880000114440918
1653793825.936936,16,0.9016000032424927
1653793843.67639,17,0.8956000208854675
1653793858.201838,18,0.9052000045776367
1653793876.046263,19,0.8967999815940857
1653793891.071031,20,0.907800018787384
1653793908.919023,21,0.9002000093460083
1653793924.224813,22,0.9083999991416931
1653793941.686745,23,0.902400016784668
1653793957.186275,24,0.9079999923706055
1653793974.465085,25,0.9038000106811523
1653793989.404317,26,0.9100000262260437
1653794006.801705,27,0.9039999842643738
1653794021.848657,28,0.9097999930381775
1653794038.88863,29,0.9047999978065491
1653794053.418271,30,0.9103999733924866
1653794070.965985,31,0.9049999713897705
1653794085.463161,32,0.9133999943733215
1653794102.476926,33,0.9074000120162964
1653794117.082006,34,0.9154000282287598
1653794134.28929,35,0.9070000052452087
1653794148.944059,36,0.9172000288963318
1653794165.657686,37,0.9083999991416931
1653794179.823675,38,0.9190000295639038
1653794196.743684,39,0.9067999720573425
1653794211.283951,40,0.9186000227928162
1653794228.297473,41,0.9070000052452087
1653794242.686459,42,0.9193999767303467
1653794260.36747,43,0.9074000120162964
1653794274.706347,44,0.9214000105857849
1653794291.729517,45,0.9092000126838684
1653794308.523871,46,0.9228000044822693
1653794327.442046,47,0.9101999998092651
1653794341.73904,48,0.925000011920929
1653794358.31946,49,0.9089999794960022
