Wall time,Step,Value
1653736117.17675,0,0.6394615769386292
1653736130.479662,1,0.5572119355201721
1653736151.007406,2,0.4688255786895752
1653736165.749173,3,0.4104650318622589
1653736190.078453,4,0.3359389305114746
1653736205.670705,5,0.31030580401420593
1653736228.195679,6,0.30258050560951233
1653736249.218609,7,0.29592353105545044
1653736267.931473,8,0.2948121726512909
1653736287.353916,9,0.2896119952201843
1653736303.624748,10,0.29035234451293945
1653736321.362047,11,0.2851268947124481
1653736335.122633,12,0.28721705079078674
1653736352.741445,13,0.2816123366355896
1653736366.102674,14,0.28460872173309326
1653736384.966256,15,0.2793879508972168
1653736401.238575,16,0.28268367052078247
1653736419.99713,17,0.277729332447052
1653736436.525091,18,0.2810865640640259
1653736454.916499,19,0.2762284278869629
1653736471.717209,20,0.2797258794307709
1653736490.867078,21,0.2751174569129944
1653736507.290336,22,0.2785152792930603
1653736526.464485,23,0.27408310770988464
1653736542.350564,24,0.277248740196228
1653736560.533079,25,0.2730112373828888
1653736577.408271,26,0.27607089281082153
1653736596.132682,27,0.27200913429260254
1653736612.192825,28,0.2749897837638855
1653736631.409007,29,0.27091532945632935
1653736648.22353,30,0.2738521099090576
1653736666.705198,31,0.2698673903942108
1653736683.530734,32,0.27291691303253174
1653736701.258515,33,0.26890963315963745
1653736714.998909,34,0.27189770340919495
1653736732.707895,35,0.2679212987422943
1653736746.591803,36,0.27086132764816284
1653736765.847282,37,0.26655346155166626
1653736783.110921,38,0.26987841725349426
1653736802.276442,39,0.265369176864624
1653736822.443379,40,0.2687808573246002
1653736840.914759,41,0.2644844353199005
1653736861.620403,42,0.26775288581848145
1653736880.477209,43,0.2635122537612915
1653736897.302164,44,0.2665964365005493
1653736916.089808,45,0.26211419701576233
1653736933.132106,46,0.2651453912258148
1653736950.688222,47,0.2608122229576111
1653736969.423057,48,0.26397815346717834
1653736988.005726,49,0.2594372630119324
