Wall time,Step,Value
1653735374.655764,0,0.6680999994277954
1653735401.740868,1,0.8306999802589417
1653735438.266943,2,0.8546000123023987
1653735463.667612,3,0.8640000224113464
1653735500.522861,4,0.8651999831199646
1653735527.532672,5,0.8709999918937683
1653735563.522377,6,0.8677999973297119
1653735594.725737,7,0.8734999895095825
1653735627.274339,8,0.8691999912261963
1653735659.819677,9,0.8745999932289124
1653735684.21636,10,0.8734999895095825
1653735715.832288,11,0.8784000277519226
1653735740.636946,12,0.8741999864578247
1653735772.284475,13,0.8801000118255615
1653735797.040515,14,0.8754000067710876
1653735828.634542,15,0.8816999793052673
1653735853.335942,16,0.8773000240325928
1653735884.725864,17,0.8841000199317932
1653735909.764885,18,0.8783000111579895
1653735941.486092,19,0.8841000199317932
1653735966.445401,20,0.8795999884605408
1653735998.21281,21,0.8845999836921692
1653736023.180857,22,0.8809000253677368
1653736055.115384,23,0.885200023651123
1653736079.970245,24,0.8805999755859375
1653736111.780954,25,0.8859999775886536
1653736136.630315,26,0.8819000124931335
1653736168.034046,27,0.8871999979019165
1653736193.20899,28,0.8823000192642212
1653736224.645583,29,0.8870999813079834
1653736249.838015,30,0.8830000162124634
1653736281.472788,31,0.8866999745368958
1653736306.441951,32,0.8837000131607056
1653736337.418234,33,0.8877999782562256
1653736362.270689,34,0.8848000168800354
1653736394.148251,35,0.8876000046730042
1653736419.059414,36,0.8845000267028809
1653736450.954772,37,0.8895000219345093
1653736475.563168,38,0.8852999806404114
1653736507.388031,39,0.8899000287055969
1653736532.100524,40,0.8859999775886536
1653736563.669827,41,0.8902000188827515
1653736588.777811,42,0.8873000144958496
1653736620.40219,43,0.8907999992370605
1653736645.439999,44,0.8877000212669373
1653736677.287488,45,0.8902999758720398
1653736702.253864,46,0.8881999850273132
1653736734.316017,47,0.8907999992370605
1653736758.905961,48,0.8884000182151794
1653736790.897797,49,0.8925999999046326
