Wall time,Step,Value
1653733879.1906,0,0.7594000101089478
1653733906.227948,1,0.862500011920929
1653733943.275487,2,0.8655999898910522
1653733969.463383,3,0.8769000172615051
1653734006.481267,4,0.8733000159263611
1653734033.75828,5,0.8827000260353088
1653734070.970955,6,0.878600001335144
1653734103.213091,7,0.8860999941825867
1653734136.04645,8,0.8806999921798706
1653734168.73274,9,0.8880000114440918
1653734194.262802,10,0.8833000063896179
1653734226.006527,11,0.8902000188827515
1653734251.958591,12,0.8865000009536743
1653734284.488258,13,0.8902999758720398
1653734310.181215,14,0.8873000144958496
1653734342.474457,15,0.8903999924659729
1653734368.441301,16,0.8891000151634216
1653734400.879805,17,0.8906999826431274
1653734426.53889,18,0.8889999985694885
1653734459.118323,19,0.8913000226020813
1653734485.209951,20,0.8892999887466431
1653734517.23987,21,0.890500009059906
1653734543.046132,22,0.8906999826431274
1653734575.149037,23,0.890999972820282
1653734600.176543,24,0.8917999863624573
1653734631.822905,25,0.8916000127792358
1653734657.07215,26,0.8920000195503235
1653734689.20687,27,0.890999972820282
1653734714.501484,28,0.8919000029563904
1653734746.61143,29,0.8916000127792358
1653734771.372561,30,0.8928999900817871
1653734803.183909,31,0.8920000195503235
1653734828.142786,32,0.8921999931335449
1653734859.970951,33,0.892300009727478
1653734884.913319,34,0.8928999900817871
1653734916.716913,35,0.8920999765396118
1653734941.525677,36,0.8931999802589417
1653734972.813437,37,0.8928999900817871
1653734998.129542,38,0.8931000232696533
1653735029.704003,39,0.892799973487854
1653735054.49982,40,0.8934000134468079
1653735086.133894,41,0.8930000066757202
1653735111.085143,42,0.8948000073432922
1653735142.81435,43,0.8938000202178955
1653735168.032609,44,0.8952000141143799
1653735199.688881,45,0.8938000202178955
1653735225.036732,46,0.8964999914169312
1653735256.998444,47,0.8938999772071838
1653735282.199282,48,0.8960000276565552
1653735313.920938,49,0.8932999968528748
