Wall time,Step,Value
1653736847.075666,0,0.7014999985694885
1653736874.551878,1,0.7675999999046326
1653736911.298445,2,0.803600013256073
1653736937.283539,3,0.8367000222206116
1653736974.021203,4,0.8440999984741211
1653737001.347837,5,0.8547000288963318
1653737037.894423,6,0.8565000295639038
1653737069.297489,7,0.8651000261306763
1653737101.078014,8,0.8632000088691711
1653737133.137743,9,0.867900013923645
1653737158.569704,10,0.8672999739646912
1653737190.566539,11,0.8707000017166138
1653737215.672205,12,0.871399998664856
1653737247.418196,13,0.8733000159263611
1653737272.784119,14,0.8751000165939331
1653737305.039192,15,0.8776000142097473
1653737330.247036,16,0.8805999755859375
1653737362.32932,17,0.8840000033378601
1653737387.375849,18,0.8848000168800354
1653737419.587819,19,0.8863000273704529
1653737445.132084,20,0.8859999775886536
1653737477.385478,21,0.8889999985694885
1653737502.544003,22,0.8877000212669373
1653737534.641915,23,0.8899999856948853
1653737559.723146,24,0.8881999850273132
1653737591.536196,25,0.8906000256538391
1653737616.819105,26,0.8881999850273132
1653737649.065242,27,0.8914999961853027
1653737674.196733,28,0.8889999985694885
1653737706.061707,29,0.892300009727478
1653737731.643258,30,0.8895000219345093
1653737763.947735,31,0.8924000263214111
1653737789.089547,32,0.8888999819755554
1653737820.592403,33,0.8931000232696533
1653737846.125486,34,0.8889999985694885
1653737878.040698,35,0.8935999870300293
1653737903.62163,36,0.8889999985694885
1653737935.955275,37,0.8937000036239624
1653737961.151997,38,0.8894000053405762
1653737992.855805,39,0.89410001039505
1653738018.605055,40,0.8903999924659729
1653738050.78069,41,0.8944000005722046
1653738075.801448,42,0.8910999894142151
1653738108.063164,43,0.8949999809265137
1653738133.288548,44,0.891700029373169
1653738165.980671,45,0.8950999975204468
1653738190.875877,46,0.8919000029563904
1653738223.147572,47,0.8950999975204468
1653738248.014826,48,0.892300009727478
1653738280.080183,49,0.8952000141143799
