Wall time,Step,Value
1653793565.22847,0,0.6919270753860474
1653793581.898171,1,0.5132484436035156
1653793599.621908,2,0.49167001247406006
1653793614.427222,3,0.5036916732788086
1653793631.674965,4,0.47853603959083557
1653793646.713329,5,0.4800078272819519
1653793664.52032,6,0.463130921125412
1653793680.919739,7,0.4742024838924408
1653793697.74155,8,0.459074467420578
1653793715.349039,9,0.4635765552520752
1653793729.768165,10,0.44011035561561584
1653793746.949401,11,0.40720874071121216
1653793761.938012,12,0.2776419520378113
1653793779.236526,13,0.26772937178611755
1653793794.019236,14,0.24492472410202026
1653793811.075339,15,0.2508876621723175
1653793825.936655,16,0.2332572489976883
1653793843.676107,17,0.2387043684720993
1653793858.201557,18,0.2249491959810257
1653793876.046002,19,0.23308992385864258
1653793891.070746,20,0.2185659110546112
1653793908.918735,21,0.22892485558986664
1653793924.22452,22,0.21442706882953644
1653793941.686457,23,0.2252926230430603
1653793957.185996,24,0.210515558719635
1653793974.464801,25,0.22147990763187408
1653793989.404023,26,0.2069258838891983
1653794006.801417,27,0.21852612495422363
1653794021.848366,28,0.2028142213821411
1653794038.88836,29,0.215684711933136
1653794053.417984,30,0.19919346272945404
1653794070.96571,31,0.2132568359375
1653794085.46288,32,0.19586612284183502
1653794102.476634,33,0.21099460124969482
1653794117.081726,34,0.19385842978954315
1653794134.289,35,0.20874592661857605
1653794148.943786,36,0.19188298285007477
1653794165.65742,37,0.20670537650585175
1653794179.823396,38,0.18951743841171265
1653794196.743422,39,0.20456261932849884
1653794211.283664,40,0.18688488006591797
1653794228.297184,41,0.20290930569171906
1653794242.68618,42,0.18576286733150482
1653794260.3672,43,0.2015828937292099
1653794274.706063,44,0.18473996222019196
1653794291.729218,45,0.19916896522045135
1653794308.523543,46,0.18208564817905426
1653794327.441772,47,0.19733908772468567
1653794341.738757,48,0.18074160814285278
1653794358.319192,49,0.1969451904296875
