Wall time,Step,Value
1653739757.409089,0,0.7027999758720398
1653739775.505267,1,0.8633000254631042
1653739801.162616,2,0.8675000071525574
1653739819.531385,3,0.8705000281333923
1653739851.225619,4,0.8704000115394592
1653739865.847961,5,0.8741999864578247
1653739891.837532,6,0.8737000226974487
1653739910.96698,7,0.8791000247001648
1653739932.253261,8,0.8758000135421753
1653739951.778747,9,0.8823999762535095
1653739969.339216,10,0.8791000247001648
1653739988.252977,11,0.8841000199317932
1653740004.838075,12,0.8816999793052673
1653740023.274699,13,0.887499988079071
1653740038.298397,14,0.8844000101089478
1653740057.369068,15,0.8888000249862671
1653740074.910819,16,0.8860999941825867
1653740094.013746,17,0.8895000219345093
1653740111.187615,18,0.8862000107765198
1653740130.224345,19,0.8919000029563904
1653740147.305409,20,0.8883000016212463
1653740166.437784,21,0.8913999795913696
1653740184.041073,22,0.8894000053405762
1653740203.153997,23,0.8930000066757202
1653740223.718184,24,0.8910999894142151
1653740242.846,25,0.8934999704360962
1653740261.744834,26,0.8920999765396118
1653740281.044332,27,0.8956000208854675
1653740301.203404,28,0.8924999833106995
1653740320.544732,29,0.8959000110626221
1653740339.635381,30,0.8937000036239624
1653740357.335818,31,0.8966000080108643
1653740372.555013,32,0.8935999870300293
1653740390.869626,33,0.8973000049591064
1653740405.798846,34,0.8938999772071838
1653740425.281678,35,0.8973000049591064
1653740440.225378,36,0.8946999907493591
1653740460.79733,37,0.8984000086784363
1653740477.266911,38,0.895799994468689
1653740495.608146,39,0.8991000056266785
1653740513.181143,40,0.8946999907493591
1653740531.109106,41,0.8992000222206116
1653740547.003282,42,0.8964999914169312
1653740565.344469,43,0.9004999995231628
1653740582.999092,44,0.8960999846458435
1653740601.786345,45,0.9003000259399414
1653740618.581074,46,0.896399974822998
1653740636.983698,47,0.9010000228881836
1653740652.057687,48,0.8967999815940857
1653740670.217794,49,0.9009000062942505
