Wall time,Step,Value
1653736117.177001,0,0.6693000197410583
1653736130.479925,1,0.7116000056266785
1653736151.007666,2,0.7839999794960022
1653736165.749427,3,0.8228999972343445
1653736190.078735,4,0.8472999930381775
1653736205.670964,5,0.86080002784729
1653736228.195934,6,0.8586999773979187
1653736249.21906,7,0.8657000064849854
1653736267.931778,8,0.8640000224113464
1653736287.363046,9,0.8693000078201294
1653736303.625006,10,0.8665000200271606
1653736321.362331,11,0.8708999752998352
1653736335.122917,12,0.868399977684021
1653736352.741703,13,0.8722000122070312
1653736366.102988,14,0.8690999746322632
1653736384.99036,15,0.8725000023841858
1653736401.238876,16,0.8697999715805054
1653736419.99743,17,0.8744000196456909
1653736436.525331,18,0.8708999752998352
1653736454.916852,19,0.8747000098228455
1653736471.717465,20,0.871999979019165
1653736490.867515,21,0.8743000030517578
1653736507.290595,22,0.8726999759674072
1653736526.497076,23,0.8745999932289124
1653736542.350815,24,0.8730999827384949
1653736560.533587,25,0.8756999969482422
1653736577.408508,26,0.8748999834060669
1653736596.132969,27,0.8759999871253967
1653736612.193074,28,0.8748999834060669
1653736631.409318,29,0.8762999773025513
1653736648.223769,30,0.8759999871253967
1653736666.705604,31,0.8772000074386597
1653736683.53099,32,0.8762999773025513
1653736701.258818,33,0.8774999976158142
1653736714.999178,34,0.8769000172615051
1653736732.72157,35,0.878600001335144
1653736746.592373,36,0.8773000240325928
1653736765.847566,37,0.8790000081062317
1653736783.111185,38,0.8781999945640564
1653736802.27673,39,0.8812999725341797
1653736822.443635,40,0.8795999884605408
1653736840.915137,41,0.8813999891281128
1653736861.62066,42,0.8791999816894531
1653736880.477489,43,0.8810999989509583
1653736897.302429,44,0.879800021648407
1653736916.09011,45,0.8817999958992004
1653736933.132371,46,0.880299985408783
1653736950.68851,47,0.8828999996185303
1653736969.423297,48,0.8816999793052673
1653736988.00975,49,0.8827000260353088
